what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.contextInformation",1451772864259
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1451772864978
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1451772867720
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1451772869468
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1451772880593
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1451772903728
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1451772912989
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1451772919491
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1451772983290
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1451772985438
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1451772988655
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1451773017066
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1451773111873
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1451773138114
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1451773150487
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1451773182690
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1451773192286
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1451773201827
started,bundle,org.eclipse.wst.server.core,1.1.304.v20120208_1420,"org.eclipse.wst.server.core",1451773202140
started,bundle,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui",1451773202170
started,bundle,org.eclipse.jdt.debug,3.7.1.v20111006_r372,"org.eclipse.jdt.debug",1451773202336
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui",1451773202445
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1451773205463
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1451773220174
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1451773225496
started,bundle,org.eclipse.wst.common.frameworks,1.2.102.v201201190400,"org.eclipse.wst.common.frameworks",1451773226122
started,bundle,org.eclipse.emf.common,2.7.0.v20120127-1122,"org.eclipse.emf.common",1451773226133
started,bundle,org.eclipse.emf.ecore,2.7.0.v20120127-1122,"org.eclipse.emf.ecore",1451773226336
started,bundle,org.eclipse.wst.common.emf,1.2.100.v201101101900,"org.eclipse.wst.common.emf",1451773226366
started,bundle,org.eclipse.jem.util,2.1.100.v201103021400,"org.eclipse.jem.util",1451773226408
started,bundle,org.eclipse.emf.ecore.xmi,2.7.0.v20120127-1122,"org.eclipse.emf.ecore.xmi",1451773226525
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.101.v201107140600,"org.eclipse.wst.common.emfworkbench.integration",1451773226526
started,bundle,org.eclipse.wst.common.core,1.2.0.v200908252030,"org.eclipse.wst.common.core",1451773226598
started,bundle,org.eclipse.wst.common.modulecore,1.2.103.v201201190400,"org.eclipse.wst.common.modulecore",1451773226610
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1451773228130
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1451773282684
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1451773310686
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1451773323881
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1451773379246
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1451773380406
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1451773386736
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1451773390592
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1451773394354
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1451773401119
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1451773408969
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1451773418695
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1451773426026
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1451773434926
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1451773437598
started,bundle,org.eclipse.wst.xsl.debug.ui,1.0.200.v201101281837,"org.eclipse.wst.xsl.debug.ui",1451773439062
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1451773493518
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1451773495755
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1451773501354
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1451773502617
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1451773509146
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1451773512871
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1451773514226
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1451773514828
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1451773518585
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1451773523422
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1451773525296
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1451773527446
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1451773528230
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1451773642293
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1451773702265
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1451773705158
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1451773715667
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1451773718701
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1451773776345
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1451773814613
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1451773819460
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1451773820950
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1451773823225
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1451773824836
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1451773827322
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1451773828495
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1451773830523
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1451773831659
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1451773833464
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1451773834591
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1451773836655
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1451773837634
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1451773838600
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1451773839646
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1451773841375
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1451773842469
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1451773846011
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1451773847013
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1451773848957
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1451773851228
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1451773855673
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1451773857156
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1451773859553
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1451773860759
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1451773864286
